CODIGO;DENOMINACION_GENERICA_ES;DENOMINACION_GENERICA_VAL;DENOMINACION_ESPECIFICA;DENOMINACION;REGIMEN;TIPO_VIA;DIRECCION;NUMERO;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;TELEFONO;FAX;COD_EDIFICACION;TITULARIDAD;CIF;COMARCA;URL_ES;URL_VA
3010843;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;IES L'ALMADRAVA;IES L'ALMADRAVA;PÚB.;CARRER;DEL LLAÜT (SALT DE L'AIGUA);10;3503;BENIDORM;ALICANTE/ALACANT;966816075;;1;GENERALITAT VALENCIANA;Q5355445G;LA MARINA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03010843;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03010843
3011537;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP LES ROTES;CEIP LES ROTES;PÚB.;CARRER;ALCOI;26;3590;ALTEA;ALICANTE/ALACANT;966870765;;1;GENERALITAT VALENCIANA;Q5355146A;LA MARINA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011537;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011537
3013923;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP ROMUALDO BALLESTER;CEIP ROMUALDO BALLESTER;PÚB.;URBANITZACIÓ;LOS ALTOS;S/N;3185;TORREVIEJA;ALICANTE/ALACANT;965290155;;1;GENERALITAT VALENCIANA;Q5350010D;EL BAIX SEGURA/LA VEGA BAJA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03013923;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03013923
3014459;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;PRIV.;PLAÇA;CONSTITUCIÓN;7;3560;CAMPELLO (EL);ALICANTE/ALACANT;965636194;;1;NO CONSTA.;G03133485;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03014459;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03014459
3014903;CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;CENTRE PRIVAT FP PELUQUERÍA IMPAKTO;CENTRE PRIVAT FP PELUQUERÍA IMPAKTO;PRIV. CONC.;AVINGUDA;DE GATA DE GORGOS;2;3700;DÉNIA;ALICANTE/ALACANT;965788102;965788102;1;NO CONSTA.;B03858677;LA MARINA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03014903;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03014903
3015294;CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;CENTRE PRIVAT FP ALBA FORMACIÓN;CENTRE PRIVAT FP ALBA FORMACIÓN;PRIV.;CARRER;CAPITÁN DEMA;12;3007;ALACANT;ALICANTE/ALACANT;965117143;965117143;1;PRIVADA.;04584881S;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03015294;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03015294
3015488;CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS;CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES;CENTRE PÚBLIC FPA PLA DE LA VALLONGA;CENTRE PÚBLIC FPA PLA DE LA VALLONGA;PÚB.;CARRETERA;MADRID-ALACANT;S/N;3113;ALACANT;ALICANTE/ALACANT;965918245;;1;GENERALITAT VALENCIANA;Q0300575H;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03015488;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03015488
12000224;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP BOQUERES;CEIP BOQUERES;PÚB.;CARRER;CONSTITUCIÓ ESPANYOLA;52;12550;ALMASSORA;CASTELLÓN/CASTELLÓ;964738320;;1;GENERALITAT VALENCIANA;Q6255008B;LA PLANA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000224;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000224
12000352;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP CARME MARTIN;CEIP CARME MARTIN;PÚB.;PLAÇA;DE LA GENERALITAT;S/N;12527;ARTANA;CASTELLÓN/CASTELLÓ;964738335;;1;GENERALITAT VALENCIANA;Q6255011F;LA PLANA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000352;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000352
12000391;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP CERVANTES-DUALDE;CEIP CERVANTES-DUALDE;PÚB.;CARRER;TRINITAT;S/N;12549;BETXÍ;CASTELLÓN/CASTELLÓ;964738340;;1;GENERALITAT VALENCIANA;Q6255149D;LA PLANA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000391;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000391
